leftDeltaDistance,rightDeltaDistance,leftSpeed,rightSpeed,time,P,I,D
336,374.4,10,50,371.953254,-371.953254,371.953254,0
337,213.2,10,50,210.748706,-210.748706,210.748706,0
338,327.6,10,50,325.141717,-325.141717,325.141717,0
339,348.4,10,50,345.934285,-345.934285,345.934285,0
340,319.8,10,50,317.327462,-317.327462,317.327462,0
341,299,10,50,296.521084,-296.521084,296.521084,0
342,195,10,50,192.516924,207.483076,592.516924,0
343,254.8,10,50,252.311488,-252.311488,252.311488,0
344,252.2,10,50,249.706108,-249.706108,249.706108,0
345,234,10,50,231.501116,-231.501116,231.501116,0
346,195,10,50,192.496956,207.503044,592.496956,0
347,150.8,10,50,148.293739,251.706261,548.293739,0
348,252.2,10,50,249.688358,-249.688358,249.688358,0
349,104,10,50,101.48614,298.51386,501.48614,0
350,179.4,10,50,176.882313,223.117687,576.882313,0
351,169,10,50,166.478707,233.521293,566.478707,0
352,208,10,50,205.47427,-205.47427,205.47427,0
353,213.2,10,50,210.669722,-210.669722,210.669722,0
354,104,10,50,101.467503,298.532497,501.467503,0
355,166.4,10,50,163.863953,236.136047,563.863953,0
356,132.6,10,50,130.061124,269.938876,530.061124,0
357,161.2,10,50,158.657685,241.342315,558.657685,0
358,59.8,10,50,57.25641,342.74359,457.25641,0
359,137.8,10,50,135.25347,264.74653,535.25347,0
360,65,10,50,62.452083,337.547917,462.452083,0
361,83.2,10,50,80.650308,319.349692,480.650308,0
362,130,10,50,127.447535,272.552465,527.447535,0
363,153.4,10,50,150.844262,249.155738,550.844262,0
364,119.6,10,50,117.041711,282.958289,517.041711,0
365,106.6,10,50,104.039437,295.960563,504.039437,0
366,49.4,10,50,46.838383,353.161617,446.838383,0
367,132.6,10,50,130.035554,269.964446,530.035554,0
368,26,10,50,23.434999,376.565001,423.434999,0
369,57.2,10,50,54.633779,345.366221,454.633779,0
370,70.2,10,50,67.632282,332.367718,467.632282,0
371,143,10,50,140.429231,259.570769,540.429231,0
372,85.8,10,50,83.227401,316.772599,483.227401,0
373,124.8,10,50,122.224738,277.775262,522.224738,0
374,83.2,10,50,80.622963,319.377037,480.622963,0
375,156,10,50,153.419635,246.580365,553.419635,0
376,65,10,50,62.418249,337.581751,462.418249,0
377,67.6,10,50,65.016806,334.983194,465.016806,0
378,49.4,10,50,46.815753,353.184247,446.815753,0
379,65,10,50,62.414366,337.585634,462.414366,0
380,104,10,50,101.412147,298.587853,501.412147,0
381,72.8,10,50,70.210594,329.789406,470.210594,0
382,18.2,10,50,15.610206,384.389794,415.610206,0
383,33.8,10,50,31.209485,368.790515,431.209485,0
384,85.8,10,50,83.207654,316.792346,483.207654,0
385,114.4,10,50,111.805214,288.194786,511.805214,0
386,57.2,10,50,54.603994,345.396006,454.603994,0
387,91,10,50,88.402052,311.597948,488.402052,0
388,109.2,10,50,106.599723,293.400277,506.599723,0
389,127.4,10,50,124.797005,275.202995,524.797005,0
390,106.6,10,50,103.994731,296.005269,503.994731,0
391,65,10,50,62.393344,337.606656,462.393344,0
392,59.8,10,50,57.192068,342.807932,457.192068,0
393,80.6,10,50,77.990349,322.009651,477.990349,0
394,78,10,50,75.388685,324.611315,475.388685,0
395,33.8,10,50,31.187964,368.812036,431.187964,0
396,117,10,50,114.385468,285.614532,514.385468,0
397,148.2,10,50,145.582306,254.417694,545.582306,0
398,101.4,10,50,98.780143,301.219857,498.780143,0
399,132.6,10,50,129.977314,270.022686,529.977314,0
400,91,10,50,88.375373,311.624627,488.375373,0
401,88.4,10,50,85.773487,314.226513,485.773487,0
402,122.2,10,50,119.57088,280.42912,519.57088,0
403,85.8,10,50,83.16905,316.83095,483.16905,0
404,119.6,10,50,116.966498,283.033502,516.966498,0
405,106.6,10,50,103.964224,296.035776,503.964224,0
406,75.4,10,50,72.762615,327.237385,472.762615,0
407,127.4,10,50,124.759898,275.240102,524.759898,0
408,36.4,10,50,33.759121,366.240879,433.759121,0
409,44.2,10,50,41.558178,358.441822,441.558178,0
410,80.6,10,50,77.956459,322.043541,477.956459,0
411,75.4,10,50,72.75485,327.24515,472.75485,0
412,70.2,10,50,67.553353,332.446647,467.553353,0
413,80.6,10,50,77.951633,322.048367,477.951633,0
414,70.2,10,50,67.550135,332.449865,467.550135,0
415,75.4,10,50,72.748527,327.251473,472.748527,0
416,96.2,10,50,93.546475,306.453525,493.546475,0
417,104,10,50,101.344256,298.655744,501.344256,0
418,124.8,10,50,122.141594,277.858406,522.141594,0
419,80.6,10,50,77.939874,322.060126,477.939874,0
420,122.2,10,50,119.537267,280.462733,519.537267,0
421,132.6,10,50,129.934438,270.065562,529.934438,0
422,278.2,10,50,275.528503,-275.528503,275.528503,0
423,257.4,10,50,254.723012,-254.723012,254.723012,0
424,215.8,10,50,213.118409,-213.118409,213.118409,0
425,176.8,10,50,174.114637,225.885363,574.114637,0
426,135.2,10,50,132.511753,267.488247,532.511753,0
427,192.4,10,50,189.707648,210.292352,589.707648,0
428,262.6,10,50,259.902046,-259.902046,259.902046,0
429,171.6,10,50,168.898385,231.101615,568.898385,0
430,218.4,10,50,215.693726,-215.693726,215.693726,0
431,93.6,10,50,90.891729,309.108271,490.891729,0
432,179.4,10,50,176.687902,223.312098,576.687902,0
433,130,10,50,127.285129,272.714871,527.285129,0
434,236.6,10,50,233.880081,-233.880081,233.880081,0
435,158.6,10,50,155.876698,244.123302,555.876698,0
436,197.6,10,50,194.872482,205.127518,594.872482,0
437,163.8,10,50,161.068988,238.931012,561.068988,0
438,195,10,50,192.264828,207.735172,592.264828,0
439,127.4,10,50,124.66211,275.33789,524.66211,0
440,54.6,10,50,51.860945,348.139055,451.860945,0
441,158.6,10,50,155.857562,244.142438,555.857562,0
442,54.6,10,50,51.856397,348.143603,451.856397,0
443,88.4,10,50,85.654511,314.345489,485.654511,0
444,114.4,10,50,111.65207,288.34793,511.65207,0
445,101.4,10,50,98.649907,301.350093,498.649907,0
446,28.6,10,50,25.849297,374.150703,425.849297,0
447,62.4,10,50,59.647966,340.352034,459.647966,0
